Time,Engine Coolant Temperature [Â°C],Intake Manifold Absolute Pressure [kPa],Engine RPM [RPM],Vehicle Speed Sensor [km/h],Intake Air Temperature [Â°C],Air Flow Rate from Mass Flow Sensor [g/s],Absolute Throttle Position [%],Ambient Air Temperature [Â°C],Accelerator Pedal Position D [%],Accelerator Pedal Position E [%]
07:16:30.444,31,,,,,,,,,
07:16:30.535,31,96.0,,,,,,,,
07:16:30.625,31,96.0,0.0,,,,,,,
07:16:30.716,31,96.0,0.0,0.0,,,,,,
07:16:30.814,31,96.0,0.0,0.0,22.0,,,,,
07:16:30.895,31,96.0,0.0,0.0,22.0,0.91,,,,
07:16:30.987,31,96.0,0.0,0.0,22.0,0.91,89.0,,,
07:16:31.075,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,,
07:16:31.167,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,
07:16:31.257,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
07:16:31.345,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
07:16:31.435,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
07:16:31.525,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
07:16:31.615,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
07:16:31.705,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
07:16:31.795,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
07:16:31.886,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
07:16:31.975,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
07:16:32.065,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
07:16:32.158,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
07:16:32.245,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
07:16:32.339,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
07:16:32.426,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
07:16:32.517,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
07:16:32.607,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
07:16:32.695,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
07:16:32.789,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
07:16:32.876,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
07:16:32.965,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
07:16:33.057,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
07:16:33.145,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
07:16:33.239,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
07:16:33.326,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
07:16:33.416,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
07:16:33.507,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
07:16:33.595,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
07:16:33.689,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
07:16:33.776,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
07:16:33.865,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
07:16:33.956,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
07:16:34.046,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
07:16:34.135,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
07:16:34.224,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
07:16:34.315,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
07:16:34.404,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
07:16:34.495,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
07:16:34.585,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
07:16:34.676,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
07:16:34.765,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
07:16:34.857,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
07:16:34.945,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
07:16:35.065,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
07:16:35.155,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
07:16:35.246,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
07:16:35.341,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
07:16:35.424,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
07:16:35.515,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
07:16:35.607,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
07:16:35.695,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
07:16:35.787,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
07:16:35.876,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
07:16:35.965,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
07:16:36.055,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
07:16:36.146,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
07:16:36.235,31,96.0,0.0,0.0,22.0,0.91,89.0,21.0,14.1,14.5
