Time,Engine Coolant Temperature [Â°C],Intake Manifold Absolute Pressure [kPa],Engine RPM [RPM],Vehicle Speed Sensor [km/h],Intake Air Temperature [Â°C],Air Flow Rate from Mass Flow Sensor [g/s],Absolute Throttle Position [%],Ambient Air Temperature [Â°C],Accelerator Pedal Position D [%],Accelerator Pedal Position E [%]
19:17:19.418,33,,,,,,,,,
19:17:19.508,33,97.0,,,,,,,,
19:17:19.598,33,97.0,0.0,,,,,,,
19:17:19.688,33,97.0,0.0,0.0,,,,,,
19:17:19.779,33,97.0,0.0,0.0,24.0,,,,,
19:17:19.868,33,97.0,0.0,0.0,24.0,0.91,,,,
19:17:19.958,33,97.0,0.0,0.0,24.0,0.91,89.0,,,
19:17:20.048,33,97.0,0.0,0.0,24.0,0.91,89.0,24.0,,
19:17:20.138,33,97.0,0.0,0.0,24.0,0.91,89.0,24.0,14.1,
19:17:20.228,33,97.0,0.0,0.0,24.0,0.91,89.0,24.0,14.1,14.5
19:17:20.318,33,97.0,0.0,0.0,24.0,0.91,89.0,24.0,14.1,14.5
19:17:20.408,33,97.0,0.0,0.0,24.0,0.91,89.0,24.0,14.1,14.5
19:17:20.499,33,97.0,0.0,0.0,24.0,0.91,89.0,24.0,14.1,14.5
19:17:20.588,33,97.0,0.0,0.0,24.0,0.91,89.0,24.0,14.1,14.5
19:17:20.678,33,97.0,0.0,0.0,24.0,0.91,89.0,24.0,14.1,14.5
19:17:20.799,33,97.0,0.0,0.0,24.0,0.91,89.0,24.0,14.1,14.5
19:17:20.888,33,97.0,0.0,0.0,24.0,0.91,89.0,24.0,14.1,14.5
19:17:20.978,33,97.0,0.0,0.0,24.0,0.91,89.0,24.0,14.1,14.5
19:17:21.068,33,97.0,0.0,0.0,24.0,0.91,89.0,24.0,14.1,14.5
19:17:21.158,33,97.0,0.0,0.0,24.0,0.91,89.0,24.0,14.1,14.5
19:17:21.249,33,97.0,0.0,0.0,24.0,0.91,89.0,24.0,14.1,14.5
19:17:21.338,33,97.0,0.0,0.0,24.0,0.91,89.0,24.0,14.1,14.5
19:17:21.428,33,97.0,0.0,0.0,24.0,0.91,89.0,24.0,14.1,14.5
19:17:21.518,33,97.0,0.0,0.0,24.0,0.91,89.0,24.0,14.1,14.5
19:17:21.608,33,97.0,0.0,0.0,24.0,0.91,89.0,24.0,14.1,14.5
19:17:21.699,33,97.0,0.0,0.0,24.0,0.91,89.0,24.0,14.1,14.5
19:17:21.788,33,97.0,0.0,0.0,24.0,0.91,89.0,24.0,14.1,14.5
19:17:21.878,33,97.0,0.0,0.0,24.0,0.91,89.0,24.0,14.1,14.5
19:17:21.968,33,97.0,0.0,0.0,24.0,0.91,89.0,24.0,14.1,14.5
19:17:22.058,33,97.0,0.0,0.0,24.0,0.91,89.0,24.0,14.1,14.5
19:17:22.148,33,97.0,0.0,0.0,24.0,0.91,89.0,24.0,14.1,14.5
19:17:22.238,33,97.0,0.0,0.0,24.0,0.91,89.0,24.0,14.1,14.5
19:17:22.328,33,97.0,0.0,0.0,24.0,0.91,89.0,24.0,14.1,14.5
19:17:22.418,33,97.0,0.0,0.0,24.0,0.91,89.0,24.0,14.1,14.5
19:17:22.508,33,97.0,0.0,0.0,24.0,0.91,89.0,24.0,14.1,14.5
19:17:22.598,33,97.0,0.0,0.0,24.0,0.91,89.0,24.0,14.1,14.5
19:17:22.688,33,97.0,0.0,0.0,24.0,0.91,89.0,24.0,14.1,14.5
19:17:22.778,33,97.0,0.0,0.0,24.0,0.91,89.0,24.0,14.1,14.5
19:17:22.869,33,97.0,0.0,0.0,24.0,0.91,89.0,24.0,14.1,14.5
19:17:22.958,33,97.0,0.0,0.0,24.0,0.91,89.0,24.0,14.1,14.5
19:17:23.048,33,97.0,0.0,0.0,24.0,0.91,89.0,24.0,14.1,14.5
19:17:23.138,33,97.0,0.0,0.0,24.0,0.91,89.0,24.0,14.1,14.5
19:17:23.228,33,97.0,0.0,0.0,24.0,0.91,89.0,24.0,14.1,14.5
19:17:23.318,33,97.0,0.0,0.0,24.0,0.91,89.0,24.0,14.1,14.5
19:17:23.408,33,97.0,0.0,0.0,24.0,0.91,89.0,24.0,14.1,14.5
19:17:23.499,33,97.0,0.0,0.0,24.0,2.99,89.0,24.0,14.1,14.5
19:17:23.588,33,97.0,0.0,0.0,24.0,2.99,89.0,24.0,14.1,14.5
19:17:23.678,33,97.0,0.0,0.0,24.0,2.99,89.0,24.0,14.1,14.5
19:17:23.768,33,97.0,0.0,0.0,24.0,2.99,89.0,24.0,14.1,14.5
19:17:23.858,33,97.0,0.0,0.0,24.0,2.99,89.0,24.0,14.1,14.5
19:17:23.949,33,97.0,0.0,0.0,24.0,2.99,89.0,24.0,14.1,14.5
19:17:24.038,33,95.0,0.0,0.0,24.0,2.99,89.0,24.0,14.1,14.5
19:17:24.129,33,95.0,1049.0,0.0,24.0,2.99,89.0,24.0,14.1,14.5
19:17:24.218,33,95.0,1049.0,0.0,24.0,2.99,89.0,24.0,14.1,14.5
19:17:24.308,33,95.0,1049.0,0.0,30.0,2.99,89.0,24.0,14.1,14.5
19:17:24.399,33,95.0,1049.0,0.0,30.0,8.49,89.0,24.0,14.1,14.5
19:17:24.489,33,95.0,1049.0,0.0,30.0,8.49,83.1,24.0,14.1,14.5
19:17:24.578,33,95.0,1049.0,0.0,30.0,8.49,83.1,24.0,14.1,14.5
19:17:24.668,33,95.0,1049.0,0.0,30.0,8.49,83.1,24.0,14.1,14.5
