Time,Engine Coolant Temperature [Â°C],Intake Manifold Absolute Pressure [kPa],Engine RPM [RPM],Vehicle Speed Sensor [km/h],Intake Air Temperature [Â°C],Air Flow Rate from Mass Flow Sensor [g/s],Absolute Throttle Position [%],Ambient Air Temperature [Â°C],Accelerator Pedal Position D [%],Accelerator Pedal Position E [%]
08:37:58.298,30,,,,,,,,,
08:37:58.359,30,98.0,,,,,,,,
08:37:58.448,30,98.0,0.0,,,,,,,
08:37:58.509,30,98.0,0.0,0.0,,,,,,
08:37:58.598,30,98.0,0.0,0.0,20.0,,,,,
08:37:58.659,30,98.0,0.0,0.0,20.0,0.91,,,,
08:37:58.748,30,98.0,0.0,0.0,20.0,0.91,89.0,,,
08:37:58.809,30,98.0,0.0,0.0,20.0,0.91,89.0,21.0,,
08:37:58.898,30,98.0,0.0,0.0,20.0,0.91,89.0,21.0,14.1,
08:37:58.988,30,98.0,0.0,0.0,20.0,0.91,89.0,21.0,14.1,14.5
08:37:59.078,30,98.0,0.0,0.0,20.0,0.91,89.0,21.0,14.1,14.5
08:37:59.168,30,98.0,0.0,0.0,20.0,0.91,89.0,21.0,14.1,14.5
08:37:59.258,30,98.0,0.0,0.0,20.0,0.91,89.0,21.0,14.1,14.5
08:37:59.348,30,98.0,0.0,0.0,20.0,0.91,89.0,21.0,14.1,14.5
08:37:59.409,30,98.0,0.0,0.0,21.0,0.91,89.0,21.0,14.1,14.5
08:37:59.498,30,98.0,0.0,0.0,21.0,0.91,89.0,21.0,14.1,14.5
08:37:59.559,30,98.0,0.0,0.0,21.0,0.91,89.0,21.0,14.1,14.5
08:37:59.648,30,98.0,0.0,0.0,21.0,0.91,89.0,21.0,14.1,14.5
08:37:59.709,30,98.0,0.0,0.0,21.0,0.91,89.0,21.0,14.1,14.5
08:37:59.798,30,98.0,0.0,0.0,21.0,0.91,89.0,21.0,14.1,14.5
08:37:59.859,30,98.0,0.0,0.0,21.0,0.91,89.0,21.0,14.1,14.5
08:37:59.948,30,98.0,0.0,0.0,21.0,0.91,89.0,21.0,14.1,14.5
08:38:00.027,30,98.0,0.0,0.0,21.0,0.91,89.0,21.0,14.1,14.5
08:38:00.098,30,98.0,0.0,0.0,21.0,0.91,89.0,21.0,14.1,14.5
08:38:00.159,30,98.0,0.0,0.0,21.0,0.91,89.0,21.0,14.1,14.5
08:38:00.248,30,98.0,0.0,0.0,21.0,0.91,89.0,21.0,14.1,14.5
08:38:00.309,30,98.0,0.0,0.0,21.0,0.91,89.0,21.0,14.1,14.5
08:38:00.398,30,98.0,0.0,0.0,21.0,0.91,89.0,21.0,14.1,14.5
08:38:00.459,30,98.0,0.0,0.0,21.0,0.91,89.0,21.0,14.1,14.5
08:38:00.548,30,98.0,0.0,0.0,21.0,0.91,89.0,21.0,14.1,14.5
08:38:00.609,30,98.0,0.0,0.0,21.0,0.91,89.0,21.0,14.1,14.5
08:38:00.698,30,98.0,0.0,0.0,21.0,0.91,89.0,21.0,14.1,14.5
08:38:00.759,30,98.0,0.0,0.0,21.0,0.91,89.0,21.0,14.1,14.5
08:38:00.848,30,98.0,0.0,0.0,21.0,0.91,89.0,21.0,14.1,14.5
08:38:00.909,30,98.0,0.0,0.0,21.0,0.91,89.0,21.0,14.1,14.5
08:38:00.998,30,98.0,0.0,0.0,21.0,0.91,89.0,21.0,14.1,14.5
08:38:01.059,30,98.0,0.0,0.0,21.0,0.91,89.0,21.0,14.1,14.5
08:38:01.148,30,98.0,0.0,0.0,21.0,0.91,89.0,21.0,14.1,14.5
08:38:01.209,30,98.0,0.0,0.0,21.0,0.91,89.0,21.0,14.1,14.5
08:38:01.298,30,98.0,0.0,0.0,21.0,0.91,89.0,21.0,14.1,14.5
08:38:01.359,30,98.0,0.0,0.0,21.0,0.91,89.0,21.0,14.1,14.5
08:38:01.448,30,98.0,0.0,0.0,21.0,0.91,89.0,21.0,14.1,14.5
08:38:01.509,30,98.0,0.0,0.0,21.0,0.91,89.0,21.0,14.1,14.5
08:38:01.598,30,98.0,0.0,0.0,21.0,0.91,89.0,21.0,14.1,14.5
08:38:01.659,30,98.0,0.0,0.0,21.0,0.91,89.0,21.0,14.1,14.5
08:38:01.748,30,98.0,0.0,0.0,21.0,0.91,89.0,21.0,14.1,14.5
08:38:01.809,30,98.0,0.0,0.0,21.0,0.91,89.0,21.0,14.1,14.5
08:38:01.898,30,98.0,0.0,0.0,21.0,0.91,89.0,21.0,14.1,14.5
08:38:01.959,30,98.0,0.0,0.0,21.0,0.91,89.0,21.0,14.1,14.5
08:38:02.048,30,98.0,0.0,0.0,21.0,0.91,89.0,21.0,14.1,14.5
08:38:02.168,30,98.0,0.0,0.0,21.0,0.91,89.0,21.0,14.1,14.5
08:38:02.258,30,98.0,0.0,0.0,21.0,0.91,89.0,21.0,14.1,14.5
08:38:02.378,30,98.0,0.0,0.0,21.0,0.91,89.0,21.0,14.1,14.5
08:38:02.468,30,98.0,0.0,0.0,21.0,0.91,89.0,21.0,14.1,14.5
08:38:02.558,30,98.0,0.0,0.0,21.0,0.91,89.0,21.0,14.1,14.5
08:38:02.648,30,98.0,0.0,0.0,21.0,0.91,89.0,21.0,14.1,14.5
08:38:02.709,30,98.0,0.0,0.0,21.0,0.91,89.0,21.0,14.1,14.5
08:38:02.798,30,98.0,0.0,0.0,21.0,0.91,89.0,21.0,14.1,14.5
08:38:02.918,30,98.0,0.0,0.0,21.0,0.91,89.0,21.0,14.1,14.5
08:38:03.008,30,98.0,0.0,0.0,21.0,0.91,89.0,21.0,14.1,14.5
08:38:03.128,30,98.0,0.0,0.0,21.0,0.91,89.0,21.0,14.1,14.5
08:38:03.218,30,98.0,0.0,0.0,21.0,0.91,89.0,21.0,14.1,14.5
08:38:03.308,30,98.0,0.0,0.0,21.0,0.91,89.0,21.0,14.1,14.5
08:38:03.399,30,98.0,0.0,0.0,21.0,0.91,89.0,21.0,14.1,14.5
08:38:03.459,30,98.0,0.0,0.0,21.0,0.91,89.0,21.0,14.1,14.5
08:38:03.548,30,98.0,0.0,0.0,21.0,0.91,89.0,21.0,14.1,14.5
08:38:03.609,30,98.0,0.0,0.0,21.0,0.91,89.0,21.0,14.1,14.5
08:38:03.698,30,98.0,0.0,0.0,21.0,0.91,89.0,21.0,14.1,14.5
08:38:03.759,30,98.0,0.0,0.0,21.0,0.91,89.0,21.0,14.1,14.5
08:38:03.848,30,98.0,0.0,0.0,21.0,0.91,89.0,21.0,14.1,14.5
08:38:03.909,30,98.0,0.0,0.0,21.0,0.91,89.0,21.0,14.1,14.5
08:38:03.998,30,98.0,0.0,0.0,21.0,0.91,89.0,21.0,14.1,14.5
08:38:04.059,30,98.0,0.0,0.0,21.0,0.91,89.0,21.0,14.1,14.5
08:38:04.148,30,98.0,0.0,0.0,21.0,0.91,89.0,21.0,14.1,14.5
08:38:04.209,30,98.0,0.0,0.0,21.0,0.91,89.0,21.0,14.1,14.5
