Time,Engine Coolant Temperature [Â°C],Intake Manifold Absolute Pressure [kPa],Engine RPM [RPM],Vehicle Speed Sensor [km/h],Intake Air Temperature [Â°C],Air Flow Rate from Mass Flow Sensor [g/s],Absolute Throttle Position [%],Ambient Air Temperature [Â°C],Accelerator Pedal Position D [%],Accelerator Pedal Position E [%]
07:23:12.009,32,,,,,,,,,
07:23:12.099,32,96.0,,,,,,,,
07:23:12.189,32,96.0,0.0,,,,,,,
07:23:12.279,32,96.0,0.0,0.0,,,,,,
07:23:12.369,32,96.0,0.0,0.0,23.0,,,,,
07:23:12.459,32,96.0,0.0,0.0,23.0,0.91,,,,
07:23:12.549,32,96.0,0.0,0.0,23.0,0.91,89.0,,,
07:23:12.639,32,96.0,0.0,0.0,23.0,0.91,89.0,22.0,,
07:23:12.729,32,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,
07:23:12.819,32,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
07:23:12.909,32,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
07:23:12.999,32,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
07:23:13.089,32,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
07:23:13.179,32,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
07:23:13.269,32,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
07:23:13.359,32,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
07:23:13.449,32,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
07:23:13.539,32,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
07:23:13.629,32,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
07:23:13.718,32,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
07:23:13.809,32,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
07:23:13.899,32,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
07:23:13.989,32,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
07:23:14.079,32,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
07:23:14.169,32,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
07:23:14.259,32,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
07:23:14.349,32,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
07:23:14.439,32,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
07:23:14.529,32,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
07:23:14.619,32,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
07:23:14.709,33,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
07:23:14.799,33,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
07:23:14.889,33,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
07:23:14.979,33,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
07:23:15.069,33,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
07:23:15.159,33,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
07:23:15.248,33,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
07:23:15.339,33,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
07:23:15.429,33,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
07:23:15.519,33,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
07:23:15.610,33,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
07:23:15.699,33,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
07:23:15.789,33,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
07:23:15.879,33,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
07:23:15.969,33,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
07:23:16.059,33,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
07:23:16.149,33,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
07:23:16.239,33,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
07:23:16.329,33,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
07:23:16.419,33,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
07:23:16.509,33,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
07:23:16.599,33,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
07:23:16.689,33,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
07:23:16.779,33,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
07:23:16.869,33,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
07:23:16.959,33,96.0,0.0,0.0,23.0,0.88,89.0,22.0,14.1,14.5
07:23:17.049,33,96.0,0.0,0.0,23.0,0.88,89.0,22.0,14.1,14.5
07:23:17.139,33,96.0,0.0,0.0,23.0,0.88,89.0,22.0,14.1,14.5
07:23:17.259,33,96.0,0.0,0.0,23.0,0.88,89.0,22.0,14.1,14.5
07:23:17.349,33,96.0,0.0,0.0,23.0,0.88,89.0,22.0,14.1,14.5
07:23:17.439,33,96.0,0.0,0.0,23.0,0.88,89.0,22.0,14.1,14.5
07:23:17.529,33,96.0,0.0,0.0,23.0,0.88,89.0,22.0,14.1,14.5
07:23:17.619,33,96.0,193.0,0.0,23.0,0.88,89.0,22.0,14.1,14.5
07:23:17.709,33,96.0,193.0,0.0,23.0,0.88,89.0,22.0,14.1,14.5
07:23:17.799,33,96.0,193.0,0.0,23.0,0.88,89.0,22.0,14.1,14.5
07:23:17.889,33,96.0,193.0,0.0,23.0,14.97,89.0,22.0,14.1,14.5
07:23:17.979,33,96.0,193.0,0.0,23.0,14.97,82.7,22.0,14.1,14.5
07:23:18.069,33,96.0,193.0,0.0,23.0,14.97,82.7,22.0,14.1,14.5
07:23:18.159,33,96.0,193.0,0.0,23.0,14.97,82.7,22.0,14.1,14.5
07:23:18.249,33,96.0,193.0,0.0,23.0,14.97,82.7,22.0,14.1,14.5
07:23:18.339,33,96.0,193.0,0.0,23.0,14.97,82.7,22.0,14.1,14.5
07:23:18.429,33,95.0,193.0,0.0,23.0,14.97,82.7,22.0,14.1,14.5
07:23:18.519,33,95.0,959.0,0.0,23.0,14.97,82.7,22.0,14.1,14.5
07:23:18.609,33,95.0,959.0,0.0,23.0,14.97,82.7,22.0,14.1,14.5
07:23:18.699,33,95.0,959.0,0.0,37.0,14.97,82.7,22.0,14.1,14.5
07:23:18.789,33,95.0,959.0,0.0,37.0,9.33,82.7,22.0,14.1,14.5
07:23:18.879,33,95.0,959.0,0.0,37.0,9.33,83.1,22.0,14.1,14.5
07:23:18.969,33,95.0,959.0,0.0,37.0,9.33,83.1,22.0,14.1,14.5
07:23:19.059,33,95.0,959.0,0.0,37.0,9.33,83.1,22.0,14.1,14.5
07:23:19.179,33,95.0,959.0,0.0,37.0,9.33,83.1,22.0,14.1,14.5
07:23:19.269,33,95.0,959.0,0.0,37.0,9.33,83.1,22.0,14.1,14.5
07:23:19.359,33,96.0,959.0,0.0,37.0,9.33,83.1,22.0,14.1,14.5
07:23:19.449,33,96.0,873.0,0.0,37.0,9.33,83.1,22.0,14.1,14.5
07:23:19.539,33,96.0,873.0,0.0,37.0,9.33,83.1,22.0,14.1,14.5
07:23:19.629,33,96.0,873.0,0.0,35.0,9.33,83.1,22.0,14.1,14.5
07:23:19.719,33,96.0,873.0,0.0,35.0,8.61,83.1,22.0,14.1,14.5
07:23:19.809,33,96.0,873.0,0.0,35.0,8.61,83.1,22.0,14.1,14.5
07:23:19.899,33,96.0,873.0,0.0,35.0,8.61,83.1,22.0,14.1,14.5
07:23:19.989,33,96.0,873.0,0.0,35.0,8.61,83.1,22.0,14.1,14.5
07:23:20.079,33,96.0,873.0,0.0,35.0,8.61,83.1,22.0,14.1,14.5
07:23:20.169,33,96.0,873.0,0.0,35.0,8.61,83.1,22.0,14.1,14.5
07:23:20.259,33,96.0,873.0,0.0,35.0,8.61,83.1,22.0,14.1,14.5
07:23:20.349,33,96.0,853.0,0.0,35.0,8.61,83.1,22.0,14.1,14.5
07:23:20.439,33,96.0,853.0,0.0,35.0,8.61,83.1,22.0,14.1,14.5
07:23:20.529,33,96.0,853.0,0.0,34.0,8.61,83.1,22.0,14.1,14.5
07:23:20.619,33,96.0,853.0,0.0,34.0,8.41,83.1,22.0,14.1,14.5
07:23:20.709,33,96.0,853.0,0.0,34.0,8.41,83.1,22.0,14.1,14.5
07:23:20.799,33,96.0,853.0,0.0,34.0,8.41,83.1,22.0,14.1,14.5
07:23:20.889,33,96.0,853.0,0.0,34.0,8.41,83.1,22.0,14.1,14.5
07:23:20.979,33,96.0,853.0,0.0,34.0,8.41,83.1,22.0,14.1,14.5
07:23:21.069,33,96.0,853.0,0.0,34.0,8.41,83.1,22.0,14.1,14.5
07:23:21.159,33,96.0,853.0,0.0,34.0,8.41,83.1,22.0,14.1,14.5
07:23:21.249,33,96.0,828.0,0.0,34.0,8.41,83.1,22.0,14.1,14.5
07:23:21.339,33,96.0,828.0,0.0,34.0,8.41,83.1,22.0,14.1,14.5
07:23:21.429,33,96.0,828.0,0.0,33.0,8.41,83.1,22.0,14.1,14.5
07:23:21.519,33,96.0,828.0,0.0,33.0,8.47,83.1,22.0,14.1,14.5
07:23:21.609,33,96.0,828.0,0.0,33.0,8.47,83.1,22.0,14.1,14.5
07:23:21.699,33,96.0,828.0,0.0,33.0,8.47,83.1,22.0,14.1,14.5
07:23:21.819,33,96.0,828.0,0.0,33.0,8.47,83.1,22.0,14.1,14.5
07:23:21.909,33,96.0,828.0,0.0,33.0,8.47,83.1,22.0,14.1,14.5
07:23:22.029,33,96.0,828.0,0.0,33.0,8.47,83.1,22.0,14.1,14.5
07:23:22.120,33,96.0,828.0,0.0,33.0,8.47,83.1,22.0,14.1,14.5
07:23:22.209,33,96.0,808.0,0.0,33.0,8.47,83.1,22.0,14.1,14.5
07:23:22.313,33,96.0,808.0,0.0,33.0,8.47,83.1,22.0,14.1,14.5
07:23:22.390,33,96.0,808.0,0.0,32.0,8.47,83.1,22.0,14.1,14.5
