Time,Engine Coolant Temperature [Â°C],Intake Manifold Absolute Pressure [kPa],Engine RPM [RPM],Vehicle Speed Sensor [km/h],Intake Air Temperature [Â°C],Air Flow Rate from Mass Flow Sensor [g/s],Absolute Throttle Position [%],Ambient Air Temperature [Â°C],Accelerator Pedal Position D [%],Accelerator Pedal Position E [%]
08:24:29.866,24,,,,,,,,,
08:24:29.955,24,96.0,,,,,,,,
08:24:30.016,24,96.0,934.0,,,,,,,
08:24:30.107,24,96.0,934.0,0.0,,,,,,
08:24:30.166,24,96.0,934.0,0.0,33.0,,,,,
08:24:30.255,24,96.0,934.0,0.0,33.0,10.52,,,,
08:24:30.316,24,96.0,934.0,0.0,33.0,10.52,82.7,,,
08:24:30.405,24,96.0,934.0,0.0,33.0,10.52,82.7,17.0,,
08:24:30.466,24,96.0,934.0,0.0,33.0,10.52,82.7,17.0,14.1,
08:24:30.585,24,96.0,934.0,0.0,33.0,10.52,82.7,17.0,14.1,14.5
08:24:30.646,24,96.0,934.0,0.0,33.0,10.52,82.7,17.0,14.1,14.5
08:24:30.706,24,97.0,934.0,0.0,33.0,10.52,82.7,17.0,14.1,14.5
08:24:30.766,24,97.0,892.0,0.0,33.0,10.52,82.7,17.0,14.1,14.5
08:24:30.855,24,97.0,892.0,0.0,33.0,10.52,82.7,17.0,14.1,14.5
08:24:30.916,24,97.0,892.0,0.0,29.0,10.52,82.7,17.0,14.1,14.5
08:24:31.005,24,97.0,892.0,0.0,29.0,9.94,82.7,17.0,14.1,14.5
08:24:31.066,24,97.0,892.0,0.0,29.0,9.94,83.1,17.0,14.1,14.5
08:24:31.155,24,97.0,892.0,0.0,29.0,9.94,83.1,17.0,14.1,14.5
08:24:31.222,24,97.0,892.0,0.0,29.0,9.94,83.1,17.0,14.1,14.5
08:24:31.305,24,97.0,892.0,0.0,29.0,9.94,83.1,17.0,14.1,14.5
08:24:31.366,24,97.0,892.0,0.0,29.0,9.94,83.1,17.0,14.1,14.5
08:24:31.455,24,97.0,892.0,0.0,29.0,9.94,83.1,17.0,14.1,14.5
08:24:31.516,24,97.0,882.0,0.0,29.0,9.94,83.1,17.0,14.1,14.5
08:24:31.605,24,97.0,882.0,0.0,29.0,9.94,83.1,17.0,14.1,14.5
08:24:31.666,24,97.0,882.0,0.0,29.0,9.94,83.1,17.0,14.1,14.5
08:24:31.755,24,97.0,882.0,0.0,29.0,9.52,83.1,17.0,14.1,14.5
08:24:31.845,24,97.0,882.0,0.0,29.0,9.52,83.1,17.0,14.1,14.5
08:24:31.906,24,97.0,882.0,0.0,29.0,9.52,83.1,17.0,14.1,14.5
08:24:31.966,24,97.0,882.0,0.0,29.0,9.52,83.1,17.0,14.1,14.5
08:24:32.055,24,97.0,882.0,0.0,29.0,9.52,83.1,17.0,14.1,14.5
08:24:32.117,24,97.0,882.0,0.0,29.0,9.52,83.1,17.0,14.1,14.5
08:24:32.205,24,97.0,882.0,0.0,29.0,9.52,83.1,17.0,14.1,14.5
08:24:32.266,24,97.0,862.0,0.0,29.0,9.52,83.1,17.0,14.1,14.5
08:24:32.355,24,97.0,862.0,0.0,29.0,9.52,83.1,17.0,14.1,14.5
08:24:32.445,24,97.0,862.0,0.0,28.0,9.52,83.1,17.0,14.1,14.5
08:24:32.506,24,97.0,862.0,0.0,28.0,9.55,83.1,17.0,14.1,14.5
08:24:32.595,24,97.0,862.0,0.0,28.0,9.55,83.1,17.0,14.1,14.5
08:24:32.656,24,97.0,862.0,0.0,28.0,9.55,83.1,17.0,14.1,14.5
08:24:32.745,24,97.0,862.0,0.0,28.0,9.55,83.1,17.0,14.1,14.5
08:24:32.806,24,97.0,862.0,0.0,28.0,9.55,83.1,17.0,14.1,14.1
08:24:32.895,24,97.0,862.0,0.0,28.0,9.55,83.1,17.0,14.1,14.1
08:24:32.956,24,97.0,862.0,0.0,28.0,9.55,83.1,17.0,14.1,14.1
08:24:33.045,24,97.0,848.0,0.0,28.0,9.55,83.1,17.0,14.1,14.1
08:24:33.106,24,97.0,848.0,0.0,28.0,9.55,83.1,17.0,14.1,14.1
08:24:33.195,24,97.0,848.0,0.0,27.0,9.55,83.1,17.0,14.1,14.1
08:24:33.256,24,97.0,848.0,0.0,27.0,9.63,83.1,17.0,14.1,14.1
08:24:33.345,24,97.0,848.0,0.0,27.0,9.63,83.1,17.0,14.1,14.1
08:24:33.406,24,97.0,848.0,0.0,27.0,9.63,83.1,17.0,14.1,14.1
08:24:33.495,24,97.0,848.0,0.0,27.0,9.63,83.1,17.0,14.1,14.1
08:24:33.556,24,97.0,848.0,0.0,27.0,9.63,83.1,17.0,14.1,14.5
08:24:33.645,24,97.0,848.0,0.0,27.0,9.63,83.1,17.0,14.1,14.5
08:24:33.706,24,97.0,848.0,0.0,27.0,9.63,83.1,17.0,14.1,14.5
08:24:33.795,24,97.0,837.0,0.0,27.0,9.63,83.1,17.0,14.1,14.5
08:24:33.886,24,97.0,837.0,0.0,27.0,9.63,83.1,17.0,14.1,14.5
08:24:33.946,24,97.0,837.0,0.0,26.0,9.63,83.1,17.0,14.1,14.5
08:24:34.006,24,97.0,837.0,0.0,26.0,9.66,83.1,17.0,14.1,14.5
08:24:34.095,24,97.0,837.0,0.0,26.0,9.66,83.1,17.0,14.1,14.5
08:24:34.185,24,97.0,837.0,0.0,26.0,9.66,83.1,17.0,14.1,14.5
08:24:34.246,24,97.0,837.0,0.0,26.0,9.66,83.1,17.0,14.1,14.5
08:24:34.306,24,97.0,837.0,0.0,26.0,9.66,83.1,17.0,14.1,14.5
08:24:34.395,24,97.0,837.0,0.0,26.0,9.66,83.1,17.0,14.1,14.5
08:24:34.456,24,97.0,837.0,0.0,26.0,9.66,83.1,17.0,14.1,14.5
08:24:34.545,24,97.0,858.0,0.0,26.0,9.66,83.1,17.0,14.1,14.5
08:24:34.606,24,97.0,858.0,0.0,26.0,9.66,83.1,17.0,14.1,14.5
08:24:34.695,24,97.0,858.0,0.0,26.0,9.66,83.1,17.0,14.1,14.5
08:24:34.756,24,97.0,858.0,0.0,26.0,10.13,83.1,17.0,14.1,14.5
08:24:34.845,24,97.0,858.0,0.0,26.0,10.13,83.1,17.0,14.1,14.5
08:24:34.906,24,97.0,858.0,0.0,26.0,10.13,83.1,17.0,14.1,14.5
08:24:34.995,24,97.0,858.0,0.0,26.0,10.13,83.1,17.0,14.1,14.5
08:24:35.056,24,97.0,858.0,0.0,26.0,10.13,83.1,17.0,14.1,14.5
08:24:35.145,24,97.0,858.0,0.0,26.0,10.13,83.1,17.0,14.1,14.5
08:24:35.207,24,97.0,858.0,0.0,26.0,10.13,83.1,17.0,14.1,14.5
08:24:35.295,24,97.0,875.0,0.0,26.0,10.13,83.1,17.0,14.1,14.5
08:24:35.356,24,97.0,875.0,0.0,26.0,10.13,83.1,17.0,14.1,14.5
08:24:35.445,24,97.0,875.0,0.0,26.0,10.13,83.1,17.0,14.1,14.5
08:24:35.506,24,97.0,875.0,0.0,26.0,10.13,83.1,17.0,14.1,14.5
08:24:35.595,24,97.0,875.0,0.0,26.0,10.13,83.1,17.0,14.1,14.5
08:24:35.656,24,97.0,875.0,0.0,26.0,10.13,83.1,17.0,14.1,14.5
08:24:35.745,24,97.0,875.0,0.0,26.0,10.13,83.1,17.0,14.1,14.5
