Time,Engine Coolant Temperature [Â°C],Intake Manifold Absolute Pressure [kPa],Engine RPM [RPM],Vehicle Speed Sensor [km/h],Intake Air Temperature [Â°C],Air Flow Rate from Mass Flow Sensor [g/s],Absolute Throttle Position [%],Ambient Air Temperature [Â°C],Accelerator Pedal Position D [%],Accelerator Pedal Position E [%]
13:41:34.611,42,,,,,,,,,
13:41:34.671,42,99.0,,,,,,,,
13:41:34.760,42,99.0,0.0,,,,,,,
13:41:34.822,42,99.0,0.0,0.0,,,,,,
13:41:34.911,42,99.0,0.0,0.0,31.0,,,,,
13:41:35.000,42,99.0,0.0,0.0,31.0,0.91,,,,
13:41:35.091,42,99.0,0.0,0.0,31.0,0.91,89.0,,,
13:41:35.181,42,99.0,0.0,0.0,31.0,0.91,89.0,22.0,,
13:41:35.271,42,99.0,0.0,0.0,31.0,0.91,89.0,22.0,14.1,
13:41:35.361,42,99.0,0.0,0.0,31.0,0.91,89.0,22.0,14.1,14.5
13:41:35.422,42,99.0,0.0,0.0,31.0,0.91,89.0,22.0,14.1,14.5
13:41:35.511,42,99.0,0.0,0.0,31.0,0.91,89.0,22.0,14.1,14.5
13:41:35.572,42,99.0,0.0,0.0,31.0,0.91,89.0,22.0,14.1,14.5
13:41:35.661,42,99.0,0.0,0.0,31.0,0.91,89.0,22.0,14.1,14.5
13:41:35.722,42,99.0,0.0,0.0,31.0,0.91,89.0,22.0,14.1,14.5
13:41:35.811,42,99.0,0.0,0.0,31.0,0.91,89.0,22.0,14.1,14.5
13:41:35.872,42,99.0,0.0,0.0,31.0,0.91,89.0,22.0,14.1,14.5
13:41:35.961,42,99.0,0.0,0.0,31.0,0.91,89.0,22.0,14.1,14.5
13:41:36.021,42,99.0,0.0,0.0,31.0,0.91,89.0,22.0,14.1,14.5
13:41:36.112,42,99.0,0.0,0.0,31.0,0.91,89.0,22.0,14.1,14.5
13:41:36.201,42,99.0,0.0,0.0,31.0,0.91,89.0,22.0,14.1,14.5
13:41:36.291,42,99.0,0.0,0.0,31.0,0.91,89.0,22.0,14.1,14.5
13:41:36.381,42,99.0,0.0,0.0,31.0,0.91,89.0,22.0,14.1,14.5
13:41:36.471,42,99.0,0.0,0.0,31.0,0.91,89.0,22.0,14.1,14.5
13:41:36.561,42,99.0,0.0,0.0,31.0,0.91,89.0,22.0,14.1,14.5
13:41:36.651,42,99.0,0.0,0.0,31.0,0.91,89.0,22.0,14.1,14.5
13:41:36.712,42,99.0,0.0,0.0,31.0,0.91,89.0,22.0,14.1,14.5
13:41:36.772,42,99.0,0.0,0.0,31.0,0.91,89.0,22.0,14.1,14.5
13:41:36.861,42,99.0,0.0,0.0,31.0,0.91,89.0,22.0,14.1,14.5
13:41:36.922,42,99.0,0.0,0.0,31.0,0.91,89.0,22.0,14.1,14.5
13:41:37.011,42,99.0,0.0,0.0,31.0,0.91,89.0,22.0,14.1,14.5
13:41:37.072,42,99.0,0.0,0.0,31.0,0.91,89.0,22.0,14.1,14.5
13:41:37.191,42,99.0,0.0,0.0,31.0,0.91,89.0,22.0,14.1,14.5
13:41:37.281,42,99.0,0.0,0.0,31.0,0.91,89.0,22.0,14.1,14.5
13:41:37.373,42,99.0,0.0,0.0,31.0,0.91,89.0,22.0,14.1,14.5
13:41:37.461,42,99.0,0.0,0.0,31.0,0.91,89.0,22.0,14.1,14.5
13:41:37.552,42,99.0,0.0,0.0,31.0,0.91,89.0,22.0,14.1,14.5
13:41:37.642,42,99.0,0.0,0.0,31.0,0.91,89.0,22.0,14.1,14.5
13:41:37.731,42,99.0,0.0,0.0,31.0,0.91,89.0,22.0,14.1,14.5
13:41:37.822,42,99.0,0.0,0.0,31.0,0.91,89.0,22.0,14.1,14.5
