Time,Engine Coolant Temperature [Â°C],Intake Manifold Absolute Pressure [kPa],Engine RPM [RPM],Vehicle Speed Sensor [km/h],Intake Air Temperature [Â°C],Air Flow Rate from Mass Flow Sensor [g/s],Absolute Throttle Position [%],Ambient Air Temperature [Â°C],Accelerator Pedal Position D [%],Accelerator Pedal Position E [%]
18:34:06.275,54,,,,,,,,,
18:34:06.365,54,99.0,,,,,,,,
18:34:06.457,54,99.0,769.0,,,,,,,
18:34:06.548,54,99.0,769.0,0.0,,,,,,
18:34:06.636,54,99.0,769.0,0.0,41.0,,,,,
18:34:06.726,54,99.0,769.0,0.0,41.0,11.91,,,,
18:34:06.816,54,99.0,769.0,0.0,41.0,11.91,83.1,,,
18:34:06.880,54,99.0,769.0,0.0,41.0,11.91,83.1,23.0,,
18:34:06.967,54,99.0,769.0,0.0,41.0,11.91,83.1,23.0,14.1,
18:34:07.057,54,99.0,769.0,0.0,41.0,11.91,83.1,23.0,14.1,14.5
18:34:07.118,54,99.0,769.0,0.0,41.0,11.91,83.1,23.0,14.1,14.5
18:34:07.178,54,99.0,769.0,0.0,41.0,11.91,83.1,23.0,14.1,14.5
18:34:07.266,54,99.0,772.0,0.0,41.0,11.91,83.1,23.0,14.1,14.5
18:34:07.328,54,99.0,772.0,0.0,41.0,11.91,83.1,23.0,14.1,14.5
18:34:07.417,54,99.0,772.0,0.0,41.0,11.91,83.1,23.0,14.1,14.5
18:34:07.536,54,99.0,772.0,0.0,41.0,11.83,83.1,23.0,14.1,14.5
18:34:07.626,54,99.0,772.0,0.0,41.0,11.83,83.1,23.0,14.1,14.5
18:34:07.717,54,99.0,772.0,0.0,41.0,11.83,83.1,23.0,14.1,14.5
18:34:07.807,54,99.0,772.0,0.0,41.0,11.83,83.1,23.0,14.1,14.5
18:34:07.867,54,99.0,772.0,0.0,41.0,11.83,83.1,23.0,14.1,14.5
18:34:07.957,54,99.0,772.0,0.0,41.0,11.83,83.1,23.0,14.1,14.5
18:34:08.046,54,99.0,772.0,0.0,41.0,11.83,83.1,23.0,14.1,14.5
18:34:08.137,54,99.0,770.0,0.0,41.0,11.83,83.1,23.0,14.1,14.5
18:34:08.227,54,99.0,770.0,0.0,41.0,11.83,83.1,23.0,14.1,14.5
18:34:08.317,54,99.0,770.0,0.0,41.0,11.83,83.1,23.0,14.1,14.5
18:34:08.378,54,99.0,770.0,0.0,41.0,11.63,83.1,23.0,14.1,14.5
18:34:08.466,54,99.0,770.0,0.0,41.0,11.63,83.1,23.0,14.1,14.5
18:34:08.527,54,99.0,770.0,0.0,41.0,11.63,83.1,23.0,14.1,14.5
18:34:08.616,54,99.0,770.0,0.0,41.0,11.63,83.1,23.0,14.1,14.5
18:34:08.706,54,99.0,770.0,0.0,41.0,11.63,83.1,23.0,14.1,14.5
18:34:08.797,54,99.0,770.0,0.0,41.0,11.63,83.1,23.0,14.1,14.5
18:34:08.886,54,99.0,770.0,0.0,41.0,11.63,83.1,23.0,14.1,14.5
18:34:08.976,54,99.0,772.0,0.0,41.0,11.63,83.1,23.0,14.1,14.5
18:34:09.066,54,99.0,772.0,0.0,41.0,11.63,83.1,23.0,14.1,14.5
18:34:09.158,54,99.0,772.0,0.0,41.0,11.63,83.1,23.0,14.1,14.5
18:34:09.250,54,99.0,772.0,0.0,41.0,11.97,83.1,23.0,14.1,14.5
18:34:09.336,54,99.0,772.0,0.0,41.0,11.97,83.1,23.0,14.1,14.5
18:34:09.427,54,99.0,772.0,0.0,41.0,11.97,83.1,23.0,14.1,14.5
18:34:09.516,54,99.0,772.0,0.0,41.0,11.97,83.1,23.0,14.1,14.5
18:34:09.606,54,99.0,772.0,0.0,41.0,11.97,83.1,23.0,14.1,14.5
18:34:09.696,54,99.0,772.0,0.0,41.0,11.97,83.1,23.0,14.1,14.5
18:34:09.786,54,99.0,772.0,0.0,41.0,11.97,83.1,23.0,14.1,14.5
18:34:09.877,54,99.0,771.0,0.0,41.0,11.97,83.1,23.0,14.1,14.5
18:34:09.966,54,99.0,771.0,0.0,41.0,11.97,83.1,23.0,14.1,14.5
18:34:10.058,54,99.0,771.0,0.0,41.0,11.97,83.1,23.0,14.1,14.5
18:34:10.119,54,99.0,771.0,0.0,41.0,11.94,83.1,23.0,14.1,14.5
18:34:10.206,54,99.0,771.0,0.0,41.0,11.94,83.1,23.0,14.1,14.5
18:34:10.267,54,99.0,771.0,0.0,41.0,11.94,83.1,23.0,14.1,14.5
18:34:10.356,54,99.0,771.0,0.0,41.0,11.94,83.1,23.0,14.1,14.5
18:34:10.446,54,99.0,771.0,0.0,41.0,11.94,83.1,23.0,14.1,14.5
18:34:10.536,54,99.0,771.0,0.0,41.0,11.94,83.1,23.0,14.1,14.5
18:34:10.626,54,99.0,771.0,0.0,41.0,11.94,83.1,23.0,14.1,14.5
18:34:10.716,54,99.0,770.0,0.0,41.0,11.94,83.1,23.0,14.1,14.5
18:34:10.836,54,99.0,770.0,0.0,41.0,11.94,83.1,23.0,14.1,14.5
18:34:10.926,54,99.0,770.0,0.0,41.0,11.94,83.1,23.0,14.1,14.5
18:34:11.018,54,99.0,770.0,0.0,41.0,12.24,83.1,23.0,14.1,14.5
18:34:11.106,54,99.0,770.0,0.0,41.0,12.24,83.1,23.0,14.1,14.5
