Time,Engine Coolant Temperature [Â°C],Intake Manifold Absolute Pressure [kPa],Engine RPM [RPM],Vehicle Speed Sensor [km/h],Intake Air Temperature [Â°C],Air Flow Rate from Mass Flow Sensor [g/s],Absolute Throttle Position [%],Ambient Air Temperature [Â°C],Accelerator Pedal Position D [%],Accelerator Pedal Position E [%]
07:00:41.381,31,,,,,,,,,
07:00:41.471,31,97.0,,,,,,,,
07:00:41.561,31,97.0,0.0,,,,,,,
07:00:41.622,31,97.0,0.0,0.0,,,,,,
07:00:41.712,31,97.0,0.0,0.0,22.0,,,,,
07:00:41.773,31,97.0,0.0,0.0,22.0,0.91,,,,
07:00:41.861,31,97.0,0.0,0.0,22.0,0.91,89.0,,,
07:00:41.923,31,97.0,0.0,0.0,22.0,0.91,89.0,20.0,,
07:00:42.014,31,97.0,0.0,0.0,22.0,0.91,89.0,20.0,14.1,
07:00:42.072,31,97.0,0.0,0.0,22.0,0.91,89.0,20.0,14.1,14.5
07:00:42.161,31,97.0,0.0,0.0,22.0,0.91,89.0,20.0,14.1,14.5
07:00:42.222,31,97.0,0.0,0.0,22.0,0.91,89.0,20.0,14.1,14.5
07:00:42.312,31,97.0,0.0,0.0,22.0,0.91,89.0,20.0,14.1,14.5
07:00:42.372,31,97.0,0.0,0.0,22.0,0.91,89.0,20.0,14.1,14.5
07:00:42.462,31,97.0,0.0,0.0,22.0,0.91,89.0,20.0,14.1,14.5
07:00:42.523,31,97.0,0.0,0.0,22.0,0.91,89.0,20.0,14.1,14.5
07:00:42.612,31,97.0,0.0,0.0,22.0,0.91,89.0,20.0,14.1,14.5
07:00:42.703,31,97.0,0.0,0.0,22.0,0.91,89.0,20.0,14.1,14.5
07:00:42.763,31,97.0,0.0,0.0,22.0,0.91,89.0,20.0,14.1,14.5
07:00:42.824,31,97.0,0.0,0.0,22.0,0.91,89.0,20.0,14.1,14.5
07:00:42.911,31,97.0,0.0,0.0,22.0,0.91,89.0,20.0,14.1,14.5
07:00:42.973,31,97.0,0.0,0.0,22.0,0.91,89.0,20.0,14.1,14.5
07:00:43.062,31,97.0,0.0,0.0,22.0,0.91,89.0,20.0,14.1,14.5
07:00:43.152,31,97.0,0.0,0.0,22.0,0.91,89.0,20.0,14.1,14.5
07:00:43.242,31,97.0,0.0,0.0,22.0,0.91,89.0,20.0,14.1,14.5
07:00:43.332,31,97.0,0.0,0.0,22.0,0.91,89.0,20.0,14.1,14.5
07:00:43.422,31,97.0,0.0,0.0,22.0,0.91,89.0,20.0,14.1,14.5
07:00:43.512,31,97.0,0.0,0.0,22.0,0.91,89.0,20.0,14.1,14.5
07:00:43.602,31,97.0,0.0,0.0,22.0,0.91,89.0,20.0,14.1,14.5
07:00:43.692,31,97.0,0.0,0.0,22.0,0.91,89.0,20.0,14.1,14.5
07:00:43.782,31,97.0,0.0,0.0,22.0,0.91,89.0,20.0,14.1,14.5
07:00:43.872,31,97.0,0.0,0.0,22.0,0.91,89.0,20.0,14.1,14.5
07:00:43.962,31,97.0,0.0,0.0,22.0,0.91,89.0,20.0,14.1,14.5
07:00:44.052,31,97.0,0.0,0.0,22.0,0.91,89.0,20.0,14.1,14.5
07:00:44.142,31,97.0,0.0,0.0,22.0,0.91,89.0,20.0,14.1,14.5
07:00:44.232,31,97.0,0.0,0.0,22.0,0.91,89.0,20.0,14.1,14.5
07:00:44.322,31,97.0,0.0,0.0,22.0,0.91,89.0,20.0,14.1,14.5
07:00:44.412,31,97.0,0.0,0.0,22.0,0.91,89.0,20.0,14.1,14.5
07:00:44.502,31,97.0,0.0,0.0,22.0,0.91,89.0,20.0,14.1,14.5
07:00:44.591,31,97.0,0.0,0.0,22.0,0.91,89.0,20.0,14.1,14.5
07:00:44.682,31,97.0,0.0,0.0,22.0,0.91,89.0,20.0,14.1,14.5
