Time,Engine Coolant Temperature [Â°C],Intake Manifold Absolute Pressure [kPa],Engine RPM [RPM],Vehicle Speed Sensor [km/h],Intake Air Temperature [Â°C],Air Flow Rate from Mass Flow Sensor [g/s],Absolute Throttle Position [%],Ambient Air Temperature [Â°C],Accelerator Pedal Position D [%],Accelerator Pedal Position E [%]
08:42:52.043,26,,,,,,,,,
08:42:52.133,26,98.0,,,,,,,,
08:42:52.223,26,98.0,0.0,,,,,,,
08:42:52.313,26,98.0,0.0,0.0,,,,,,
08:42:52.374,26,98.0,0.0,0.0,16.0,,,,,
08:42:52.463,26,98.0,0.0,0.0,16.0,0.88,,,,
08:42:52.524,26,98.0,0.0,0.0,16.0,0.88,89.0,,,
08:42:52.613,26,98.0,0.0,0.0,16.0,0.88,89.0,21.0,,
08:42:52.674,26,98.0,0.0,0.0,16.0,0.88,89.0,21.0,14.1,
08:42:52.763,26,98.0,0.0,0.0,16.0,0.88,89.0,21.0,14.1,14.5
08:42:52.824,26,98.0,0.0,0.0,16.0,0.88,89.0,21.0,14.1,14.5
08:42:52.913,26,98.0,0.0,0.0,16.0,0.88,89.0,21.0,14.1,14.5
08:42:52.974,26,98.0,0.0,0.0,16.0,0.88,89.0,21.0,14.1,14.5
08:42:53.064,26,98.0,0.0,0.0,16.0,0.88,89.0,21.0,14.1,14.5
08:42:53.124,26,98.0,0.0,0.0,16.0,0.88,89.0,21.0,14.1,14.5
08:42:53.213,26,98.0,0.0,0.0,16.0,0.88,89.0,21.0,14.1,14.5
08:42:53.274,26,98.0,0.0,0.0,16.0,0.88,89.0,21.0,14.1,14.5
08:42:53.363,26,98.0,0.0,0.0,16.0,0.88,89.0,21.0,14.1,14.5
08:42:53.424,26,98.0,0.0,0.0,16.0,0.88,89.0,21.0,14.1,14.5
08:42:53.513,26,98.0,0.0,0.0,16.0,0.88,89.0,21.0,14.1,14.5
08:42:53.574,26,98.0,0.0,0.0,16.0,0.88,89.0,21.0,14.1,14.5
08:42:53.663,26,98.0,0.0,0.0,16.0,0.88,89.0,21.0,14.1,14.5
08:42:53.724,26,98.0,0.0,0.0,16.0,0.88,89.0,21.0,14.1,14.5
08:42:53.843,26,98.0,0.0,0.0,16.0,0.88,89.0,21.0,14.1,14.5
08:42:53.933,26,98.0,0.0,0.0,16.0,0.88,89.0,21.0,14.1,14.5
08:42:54.023,26,98.0,0.0,0.0,16.0,0.88,89.0,21.0,14.1,14.5
08:42:54.113,26,98.0,0.0,0.0,16.0,0.88,89.0,21.0,14.1,14.5
