Time,Engine Coolant Temperature [Â°C],Intake Manifold Absolute Pressure [kPa],Engine RPM [RPM],Vehicle Speed Sensor [km/h],Intake Air Temperature [Â°C],Air Flow Rate from Mass Flow Sensor [g/s],Absolute Throttle Position [%],Ambient Air Temperature [Â°C],Accelerator Pedal Position D [%],Accelerator Pedal Position E [%]
18:25:02.218,33,,,,,,,,,
18:25:02.308,33,99.0,,,,,,,,
18:25:02.398,33,99.0,0.0,,,,,,,
18:25:02.461,33,99.0,0.0,0.0,,,,,,
18:25:02.548,33,99.0,0.0,0.0,23.0,,,,,
18:25:02.646,33,99.0,0.0,0.0,23.0,0.91,,,,
18:25:02.728,33,99.0,0.0,0.0,23.0,0.91,89.0,,,
18:25:02.848,33,99.0,0.0,0.0,23.0,0.91,89.0,23.0,,
18:25:02.910,33,99.0,0.0,0.0,23.0,0.91,89.0,23.0,14.1,
18:25:02.998,33,99.0,0.0,0.0,23.0,0.91,89.0,23.0,14.1,14.5
18:25:03.089,33,99.0,0.0,0.0,23.0,0.91,89.0,23.0,14.1,14.5
18:25:03.178,33,99.0,0.0,0.0,23.0,0.91,89.0,23.0,14.1,14.5
18:25:03.268,33,99.0,0.0,0.0,23.0,0.91,89.0,23.0,14.1,14.5
18:25:03.358,33,99.0,0.0,0.0,23.0,0.91,89.0,23.0,14.1,14.5
18:25:03.449,33,99.0,0.0,0.0,23.0,0.91,89.0,23.0,14.1,14.5
18:25:03.539,33,99.0,0.0,0.0,23.0,0.91,89.0,23.0,14.1,14.5
18:25:03.629,33,99.0,0.0,0.0,23.0,0.91,89.0,23.0,14.1,14.5
18:25:03.720,33,99.0,0.0,0.0,23.0,0.91,89.0,23.0,14.1,14.5
18:25:03.809,33,99.0,0.0,0.0,23.0,0.91,89.0,23.0,14.1,14.5
18:25:03.899,33,99.0,0.0,0.0,23.0,0.91,89.0,23.0,14.1,14.5
18:25:03.988,33,99.0,0.0,0.0,23.0,0.91,89.0,23.0,14.1,14.5
18:25:04.079,33,99.0,0.0,0.0,23.0,0.91,89.0,23.0,14.1,14.5
18:25:04.168,33,99.0,0.0,0.0,23.0,0.91,89.0,23.0,14.1,14.5
18:25:04.259,33,99.0,0.0,0.0,23.0,0.91,89.0,23.0,14.1,14.5
