Time,Engine Coolant Temperature [Â°C],Intake Manifold Absolute Pressure [kPa],Engine RPM [RPM],Vehicle Speed Sensor [km/h],Intake Air Temperature [Â°C],Air Flow Rate from Mass Flow Sensor [g/s],Absolute Throttle Position [%],Ambient Air Temperature [Â°C],Accelerator Pedal Position D [%],Accelerator Pedal Position E [%]
19:45:56.646,67,,,,,,,,,
19:45:56.736,67,99.0,,,,,,,,
19:45:56.826,67,99.0,765.0,,,,,,,
19:45:56.916,67,99.0,765.0,0.0,,,,,,
19:45:57.036,67,99.0,765.0,0.0,20.0,,,,,
19:45:57.156,67,99.0,765.0,0.0,20.0,6.91,,,,
19:45:57.247,67,99.0,765.0,0.0,20.0,6.91,83.5,,,
19:45:57.336,67,99.0,765.0,0.0,20.0,6.91,83.5,27.0,,
19:45:57.428,67,99.0,765.0,0.0,20.0,6.91,83.5,27.0,14.5,
19:45:57.547,67,99.0,765.0,0.0,20.0,6.91,83.5,27.0,14.5,14.5
19:45:57.638,68,99.0,765.0,0.0,20.0,6.91,83.5,27.0,14.5,14.5
19:45:57.727,68,99.0,765.0,0.0,20.0,6.91,83.5,27.0,14.5,14.5
19:45:57.817,68,99.0,769.0,0.0,20.0,6.91,83.5,27.0,14.5,14.5
19:45:57.908,68,99.0,769.0,0.0,20.0,6.91,83.5,27.0,14.5,14.5
19:45:57.997,68,99.0,769.0,0.0,21.0,6.91,83.5,27.0,14.5,14.5
19:45:58.087,68,99.0,769.0,0.0,21.0,6.99,83.5,27.0,14.5,14.5
19:45:58.177,68,99.0,769.0,0.0,21.0,6.99,83.5,27.0,14.5,14.5
19:45:58.267,68,99.0,769.0,0.0,21.0,6.99,83.5,27.0,14.5,14.5
19:45:58.357,68,99.0,769.0,0.0,21.0,6.99,83.5,27.0,14.5,14.5
19:45:58.452,68,99.0,769.0,0.0,21.0,6.99,83.5,27.0,14.5,14.5
19:45:58.538,68,99.0,769.0,0.0,21.0,6.99,83.5,27.0,14.5,14.5
19:45:58.627,68,99.0,769.0,0.0,21.0,6.99,83.5,27.0,14.5,14.5
19:45:58.717,68,99.0,770.0,0.0,21.0,6.99,83.5,27.0,14.5,14.5
19:45:58.807,68,99.0,770.0,0.0,21.0,6.99,83.5,27.0,14.5,14.5
19:45:58.897,68,99.0,770.0,0.0,21.0,6.99,83.5,27.0,14.5,14.5
19:45:58.987,68,99.0,770.0,0.0,21.0,6.66,83.5,27.0,14.5,14.5
19:45:59.077,68,99.0,770.0,0.0,21.0,6.66,83.5,27.0,14.5,14.5
19:45:59.167,68,99.0,770.0,0.0,21.0,6.66,83.5,27.0,14.5,14.5
19:45:59.257,68,99.0,770.0,0.0,21.0,6.66,83.5,27.0,14.5,14.5
19:45:59.347,68,99.0,770.0,0.0,21.0,6.66,83.5,27.0,14.5,14.5
19:45:59.437,68,99.0,770.0,0.0,21.0,6.66,83.5,27.0,14.5,14.5
19:45:59.528,68,99.0,770.0,0.0,21.0,6.66,83.5,27.0,14.5,14.5
19:45:59.617,68,99.0,770.0,0.0,21.0,6.66,83.5,27.0,14.5,14.5
19:45:59.707,68,99.0,770.0,0.0,21.0,6.66,83.5,27.0,14.5,14.5
19:45:59.797,68,99.0,770.0,0.0,22.0,6.66,83.5,27.0,14.5,14.5
19:45:59.887,68,99.0,770.0,0.0,22.0,6.94,83.5,27.0,14.5,14.5
